"","CON_1","CON_2","PNA_1","PNA_2"
"LK433_RS00300",1083.21161924704,1063.81648378958,307.750049174697,298.875703645851
"LK433_RS00305",6203.02922521079,5928.92400052499,618.318666067558,537.589733625912
"LK433_RS00310",705.282908325307,624.017669610879,123.102788824953,110.047345534697
"LK433_RS00315",609.447392275761,577.16355022083,103.733833740276,99.2045786403718
"LK433_RS00320",649.793213315273,622.216292724368,105.600126946616,107.615141483677
"LK433_RS00325",757.764987491506,717.822717288154,133.365953256891,132.697763352905
"LK433_RS00330",106.21385758527,106.274903162714,113.180290826188,76.3016056440716
"LK433_RS00335",623.632965710234,729.35150933073,1495.05788072259,1331.2151750575
"LK433_RS00340",8316.01306639482,8373.77845314041,8527.71111851024,8543.34024248962
"LK433_RS00345",77.7170198086518,86.1873813038467,53.3539299629094,53.6591840263535
"LK433_RS00350",93.5823285861576,89.0132780175216,55.3946532853797,43.2499133498153
"LK433_RS00355",17.2695059304003,15.1915853477688,25.3465136294509,25.5947333140832
"LK433_RS00360",19.97255903255,11.8113604749916,15.8624426534772,24.3470322170857
"LK433_RS00365",242.689936795001,274.377903834054,684.406142071796,740.783501194913
"LK433_RS00370",3993.06779745102,3852.95221153109,2655.38450685744,2604.02292265345
"LK433_RS00375",3651.03363660727,3793.64355436787,2008.75284781793,2295.94289272372
"LK433_RS00380",3994.29993353581,3905.13105704409,2013.02878182559,2355.33747911661
"LK433_RS00385",4198.9342403882,4120.10917476631,2132.43941379859,2454.6244168951
"LK433_RS00390",5050.47380836366,4822.79006339639,2661.2932134344,2827.29280999477
"LK433_RS00395",2527.37005252187,3462.81075002549,1488.5316186023,2001.87804573601
"LK433_RS00400",3263.2269151225,3209.23158577096,1678.64625321025,1947.62214747664
"LK433_RS00405",3439.38086158702,3714.55700682414,2094.48688644931,2333.169144352
"LK433_RS00410",4914.7623045227,4871.44303147461,2855.7123571251,3311.82419266878
"LK433_RS00415",3367.96344131455,3972.47082619282,1924.85095645781,2510.17684967857
"LK433_RS00420",3930.92331655757,3866.0102424884,2270.17713487214,2782.84554942214
"LK433_RS00425",5453.64990497371,5076.2274481395,3010.18401746506,3612.84329646587
"LK433_RS00430",3982.45656706402,4614.68616966248,2276.11933672942,2921.04005428409
"LK433_RS00435",4165.1431712318,4420.92735278674,2330.3081890151,2835.40993974073
"LK433_RS00440",3251.96765633945,3947.15786566488,1908.12934918093,2477.45960449731
"LK433_RS00445",3601.16806476007,3580.97305719733,1973.19183400731,2329.46031772382
"LK433_RS00450",4883.42526943577,4963.90530999985,2692.90403809295,3410.77260017914
"LK433_RS00455",3844.39019476533,3750.92987346587,2168.56233635817,2543.10948551899
"LK433_RS00460",5002.69473654509,4445.29478667365,2510.75169047419,3066.87674427546
"LK433_RS00465",2607.8016693731,2569.2889014773,1334.9636507103,1724.83444756054
"LK433_RS00470",4623.51772409355,4703.4922983808,2672.74393879023,2972.21077911654
"LK433_RS00475",4062.77866812125,4109.99039118411,2184.89025068951,2568.83772340326
"LK433_RS00480",5541.10646505487,5414.36045107079,2871.3418194128,3539.34658283745
"LK433_RS00485",4205.84263980465,4139.01921903413,2105.39171434826,2671.42087793631
"LK433_RS00490",4551.36577382228,4380.90742117734,2509.27980335356,2999.81065369461
"LK433_RS00495",5130.73496803229,4684.07822796114,2687.13015783098,3331.01920689482
"LK433_RS00500",2934.023268981,2898.04384282999,1487.07227387818,1725.83846340616
"LK433_RS00505",5107.79755695989,5153.4478182693,2581.54522319435,3063.15044251508
"LK433_RS00510",4140.75345724133,4773.048931359,2062.39747041063,2614.40391770093
"LK433_RS00515",4469.70087363214,4423.06968493672,2291.97851394967,2808.81322984963
"LK433_RS00520",4659.31270002201,5158.78811500684,2552.47652690406,2901.67301340747
"LK433_RS00525",4146.20440334664,4417.43719229205,2671.29029933979,2514.00008295767
