"","CON_0_1","CON_0_2","CON_0_3","CON_10_1","CON_10_2","CON_10_3","CON_20_1","CON_20_2","CON_20_3","CON_30_1"
"LK433_RS12205",6.51678586036469,5.87288282971342,7.64278233333943,8.86462113279937,118.726026233987,11.5236823780987,11.0395717295393,9.31444755889958,7.30267962687845,8.62511866876547
"LK433_RS12210",210.221816898925,237.460197208609,225.699649657851,334.678815721976,292.097597846787,321.927464212331,303.371084810936,304.461943907658,270.251571948738,313.454674928549
"LK433_RS12215",209.586070225509,223.01020669926,236.929091757299,299.571092087002,217.01700249951,269.205595491173,304.354556367719,299.800376247191,253.123265084588,297.999437760936
"LK433_RS12220",194.498069615094,184.319285553578,209.531537901631,252.757852453907,295.659763674187,256.084161183487,283.174909277544,285.237320021275,264.715445658308,308.085031473342
"LK433_RS12225",55.9128716192091,63.4630340452631,38.2676499799784,42.9889028757681,111.428201151559,46.6053404386633,80.3081043973496,73.2053532878498,64.8603524794328,63.1658817372174
"LK433_RS12230",12.3252254315593,7.06900085777282,12.243009413978,17.3375497039169,112.77214890064,12.5290356203956,12.9032515811841,12.2873670993153,7.83781307103905,13.1180617590909
"LK433_RS12235",8.80785115635407,7.7161994675175,12.7385068911681,11.5352916904826,118.399019725953,17.9738063507156,14.5152517318958,12.8400046626338,10.7361538414138,11.1010062183485
"LK433_RS12240",122.712327521763,106.776282014363,115.514305224795,148.067262176029,298.477486424101,150.645503417132,141.189825689871,131.745818234048,120.49678589383,139.059526850882
"LK433_RS12245",113.528332743961,128.625745302803,127.801658831548,155.830653810807,224.923175327705,140.980221430363,146.735115193183,116.091864906941,132.110868701826,137.859962413585
"LK433_RS12250",311.181859658023,323.173093316141,343.709991924528,313.936973444089,217.602822454968,324.889329745239,232.045264278477,230.713491919738,245.665264655741,217.960786754874
"LK433_RS12255",300.758810649066,329.862222279437,345.895705807069,322.124804623618,373.367677179231,308.881935603352,217.4074626476,234.496345630552,270.121055584448,207.033984668146
"LK433_RS12260",373.288218998929,397.616837545985,411.211883241645,380.468431896524,350.557616871873,355.831649167766,303.415190453004,301.955370592823,312.505218717247,283.4496893844
"LK433_RS12265",152.046078834427,123.372078503226,152.036080220831,104.376374064901,204.283107954451,167.76198030983,171.341737465017,192.76150133275,146.411682262851,203.252731762014
"LK433_RS12270",141.965392282649,148.393335710899,172.693844190482,137.338850346467,195.257977659128,152.692952685438,127.623541767067,151.849058074007,157.235126516153,140.612745432414
"LK433_RS12275",154.535402250031,155.180467251709,138.195400554656,148.520823579722,262.813452796337,137.408576307641,134.240224908374,135.398196788004,147.29879744804,127.554273384028
"LK433_RS12280",11424.1582967387,10690.5572365144,10716.8684643246,10380.2357077148,4555.7258871267,10375.6965194994,10777.66647384,11773.2985406049,12809.6008332864,12809.5809635792
"LK433_RS12285",1324.96173389263,1161.12448973138,1135.53912314646,813.669143001066,392.472563405616,881.189045529242,1099.94479848998,1130.23467616016,972.202333331684,999.38706088583
"LK433_RS12290",84.409119622194,69.3599005939189,64.8802740261124,72.3937812088317,65.6823918096176,59.4009082149215,57.5073418901301,72.5056207348025,77.8081079415877,69.7532631406426
"LK433_RS12295",662.892090327409,669.10384551474,699.030790056001,686.80209898194,576.549969350302,659.8932828041,609.006590185564,631.789310175412,767.989208432391,702.65458858714
"LK433_RS12300",217.909985629968,189.393328562924,193.625304745754,204.434820563924,260.209309537924,214.238671039087,181.118671973917,214.906659857955,203.016915241191,207.403799512811
"LK433_RS12305",169.787573681701,181.527988862707,230.730543106565,219.551582054968,1890.29266510805,331.654041653178,199.793942480201,197.726760870864,176.423072763664,178.1596312507
"LK433_RS12310",197.317729362648,215.04969179242,171.278998080322,194.300125992172,314.05238264938,155.801427939879,197.788632185126,236.413343425324,164.045427576847,197.12637489006
"LK433_RS12315",1297.56099485003,1228.04067092069,1338.35872037441,1423.0927680956,766.859060667353,1344.61015828803,1180.91402772549,1267.9961410142,1334.27292283258,1289.84032541854
"LK433_RS12320",1659.79702478332,1488.43566898314,1548.31851812981,1419.97094274543,661.341754569853,1506.33448160282,1660.80001134614,1891.84833934086,1670.39472169984,1664.94761762007
"LK433_RS12325",416.66414991287,416.742259871025,375.087285181906,379.509781803996,334.672855026634,368.355873963969,401.484558150931,419.430164484401,451.443336992341,422.544438701759
"LK433_RS12330",101.56524563274,109.072958431565,95.8868483201311,82.3705124288127,212.430892879102,95.9345853078116,133.373747470944,116.79907371021,110.669278119377,131.284184708286
"LK433_RS12335",1.57086206480658,2.93332912930837,2.8248322937931,3.50502188064311,3.41052361248196,2.75473453004887,3.11349131028781,2.53672106377049,4.8947911041685,2.44119349709053
"LK433_RS12340",5.47226538969505,6.80556401680931,11.3363761560746,3.82229756050175,242.370817378841,17.0077935171744,8.01475524093501,6.36259545503089,3.15696831402343,1.080528269204
