"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS14735",-0.0498505721897578,6.18839604906199,0.0664698451623514,0.797474572958989,0.934545845475961,"LK433_RS14735","LK433_RS14735"
"LK433_RS10930",0.0174887191297923,10.2683826428935,0.0658321544603676,0.798426809037756,0.934751791187963,"LK433_RS10930","LK433_RS10930"
"LK433_RS11275",0.0520359965815447,5.67075423968128,0.0652711850778341,0.79926855689935,0.935342934053727,"LK433_RS11275","LK433_RS11275"
"LK433_RS01210",-0.0235803842846677,8.72021770311672,0.0644597431873595,0.800492998360349,0.936381236919414,"LK433_RS01210","LK433_RS01210"
"LK433_RS13490",-0.0261850438946413,8.43953208060372,0.0641464239242127,0.800967984348246,0.936542354751612,"LK433_RS13490","LK433_RS13490"
"LK433_RS08165",0.0470595702774168,6.35507727537412,0.0636054609049084,0.801790991235129,0.937110093712102,"LK433_RS08165","LK433_RS08165"
"LK433_RS03185",0.0474310569889506,6.99540089936522,0.0633493250509714,0.802436781200286,0.937470316109884,"LK433_RS03185","LK433_RS03185"
"LK433_RS01940",-0.0463761919716112,6.14531163583131,0.0623257922826276,0.803752797221268,0.938612917528789,"LK433_RS01940","LK433_RS01940"
"LK433_RS10285",-0.0508067577519697,5.75839313315678,0.0619854867172058,0.804278103296184,0.938831564881674,"LK433_RS10285","LK433_RS10285"
"LK433_RS01220",-0.0226133731780215,8.6547821278836,0.0616954958326024,0.804726953023351,0.938960818716741,"LK433_RS01220","LK433_RS01220"
"LK433_RS00975",-0.0408750878863228,6.22378036649269,0.0601388678574235,0.807155691359488,0.94002104554095,"LK433_RS00975","LK433_RS00975"
"LK433_RS01495",-0.0336286735471709,7.2907052630345,0.0600023656707005,0.807370252982266,0.94002104554095,"LK433_RS01495","LK433_RS01495"
"LK433_RS07735",-0.0522374200107647,5.73786686627363,0.0599962841247533,0.807379818312205,0.94002104554095,"LK433_RS07735","LK433_RS07735"
"LK433_RS08145",-0.0634696316629091,4.85173269479187,0.0598140877150911,0.807666623932556,0.94002104554095,"LK433_RS08145","LK433_RS08145"
"LK433_RS09440",-0.166274057354009,1.84632803353758,0.060098882283009,0.807218516096643,0.94002104554095,"LK433_RS09440","LK433_RS09440"
"LK433_RS14535",0.0453482814194406,5.96622212154499,0.0603048710672564,0.806895106306363,0.94002104554095,"LK433_RS14535","LK433_RS14535"
"LK433_RS13865",0.0592660002559243,5.44273733834828,0.0590169562905417,0.808926914009041,0.940168833721569,"LK433_RS13865","LK433_RS13865"
"LK433_RS14185",-0.0292542734079664,7.4883282585176,0.059124794415321,0.808755892890624,0.940168833721569,"LK433_RS14185","LK433_RS14185"
"LK433_RS14710",-0.0800910874294314,4.356607949652,0.059376922482363,0.808356685592822,0.940168833721569,"LK433_RS14710","LK433_RS14710"
"LK433_RS14765",0.048752697238139,5.8121089458868,0.0588778137246157,0.809147825925297,0.940168833721569,"LK433_RS14765","LK433_RS14765"
"LK433_RS02465",-0.0420775544437317,6.09363089028625,0.0583846302543986,0.809933072681897,0.940231739013027,"LK433_RS02465","LK433_RS02465"
"LK433_RS06425",-0.0150347926349168,10.1978600363658,0.0582778542783897,0.810103543603645,0.940231739013027,"LK433_RS06425","LK433_RS06425"
"LK433_RS07415",-0.0487168498587403,5.75501548028439,0.0582064095988983,0.810217699480797,0.940231739013027,"LK433_RS07415","LK433_RS07415"
"LK433_RS00845",-0.0657823146560613,4.90632601019,0.0529320251278781,0.818859788610256,0.940886404860733,"LK433_RS00845","LK433_RS00845"
"LK433_RS01730",-0.113989647196293,2.7724988294355,0.0565832424620449,0.812831498412129,0.940886404860733,"LK433_RS01730","LK433_RS01730"
