"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS01960",0.230553550063692,5.59308428363877,1.33743867077528,0.252301024628359,0.449704714629624,"LK433_RS01960","LK433_RS01960"
"LK433_RS08510",0.0808683740166874,10.3955593021748,1.33332264916363,0.253023843384821,0.450703792866997,"LK433_RS08510","LK433_RS08510"
"LK433_RS03910",-0.167442427621669,7.17996028542495,1.32996842926791,0.253614803070436,0.451466864183718,"LK433_RS03910","LK433_RS03910"
"LK433_RS00685",0.180624297002757,7.18168112106131,1.3265762018885,0.254214221917816,0.452125583998537,"LK433_RS00685","LK433_RS00685"
"LK433_RS07005",-0.128662334856134,8.55126128827712,1.32511327047419,0.254473276121611,0.452125583998537,"LK433_RS07005","LK433_RS07005"
"LK433_RS11670",-0.304963886496915,4.85884763239349,1.32585211268847,0.254342401381656,0.452125583998537,"LK433_RS11670","LK433_RS11670"
"LK433_RS06705",-0.112809004247599,9.09001323413089,1.3234687692036,0.254764878477425,0.452354263127756,"LK433_RS06705","LK433_RS06705"
"LK433_RS12445",0.192743991305226,6.90253847869377,1.31190544756849,0.256827187101357,0.455724663629693,"LK433_RS12445","LK433_RS12445"
"LK433_RS01220",-0.110263350634684,8.6547821278836,1.30709595418372,0.257691139173601,0.455891535106177,"LK433_RS01220","LK433_RS01220"
"LK433_RS07310",-0.396921470323096,4.39039087955239,1.30681310030969,0.257742063419769,0.455891535106177,"LK433_RS07310","LK433_RS07310"
"LK433_RS07575",0.260224129173995,5.28303515270134,1.30807798514194,0.257514435324525,0.455891535106177,"LK433_RS07575","LK433_RS07575"
"LK433_RS12345",0.204373115017847,6.30671645132472,1.30998027229063,0.257172577059025,0.455891535106177,"LK433_RS12345","LK433_RS12345"
"LK433_RS13985",0.246434045271121,5.45833806697807,1.30775002305787,0.257573430909008,0.455891535106177,"LK433_RS13985","LK433_RS13985"
"LK433_RS03915",-0.332928732440057,4.43090048605794,1.30319696940851,0.258394220372622,0.456754137475984,"LK433_RS03915","LK433_RS03915"
"LK433_RS01360",-0.24617147752843,5.37485761479879,1.29975258582505,0.25901733836985,0.456963589588878,"LK433_RS01360","LK433_RS01360"
"LK433_RS02210",-0.247389299096686,5.7708285785825,1.30139322442353,0.258720297035929,0.456963589588878,"LK433_RS02210","LK433_RS02210"
"LK433_RS07065",0.23351324469464,10.1519513604255,1.33290668944489,0.25897235945785,0.456963589588878,"LK433_RS07065","LK433_RS07065"
"LK433_RS13730",-0.12435184205375,7.83608797921324,1.29890522627632,0.259170923155378,0.456963589588878,"LK433_RS13730","LK433_RS13730"
"LK433_RS14030",0.231493276840658,5.88370459285921,1.297229328912,0.259475019663995,0.457209473100833,"LK433_RS14030","LK433_RS14030"
"LK433_RS03330",-0.186261792629763,6.65381451603861,1.29175051109199,0.260472314450618,0.458675724305242,"LK433_RS03330","LK433_RS03330"
"LK433_RS05880",-0.225026377362977,6.44500556713717,1.2840754055003,0.261877548783226,0.460566151343267,"LK433_RS05880","LK433_RS05880"
"LK433_RS05885",-0.260393084813628,5.04160526527738,1.284697461284,0.261763300419045,0.460566151343267,"LK433_RS05885","LK433_RS05885"
"LK433_RS04065",-0.314488520085385,4.91008449468699,1.28296886826623,0.262080934123803,0.460632122823924,"LK433_RS04065","LK433_RS04065"
"LK433_RS00405",0.073004009067136,12.6494293914691,1.28031170757226,0.262570145804212,0.460908530277052,"LK433_RS00405","LK433_RS00405"
"LK433_RS03630",-0.153119781439908,7.06046931154331,1.28071131757592,0.262496499581895,0.460908530277052,"LK433_RS03630","LK433_RS03630"
"LK433_RS05325",-0.287070816106185,4.88132835293486,1.27630036281781,0.263310868029729,0.46162517709505,"LK433_RS05325","LK433_RS05325"
"LK433_RS12400",0.256279340711039,5.58032522001449,1.27711128757535,0.263160912160858,0.46162517709505,"LK433_RS12400","LK433_RS12400"
"LK433_RS03315",0.225310672944711,8.58118067871503,1.30303392907016,0.263721535745931,0.462053441493029,"LK433_RS03315","LK433_RS03315"
"LK433_RS03770",0.13801087637658,7.43185873878363,1.27293039831699,0.263935200729884,0.462136224733221,"LK433_RS03770","LK433_RS03770"
"LK433_RS07010",-0.0861281035799818,9.98261334694396,1.26840862107162,0.264775872009333,0.463316065891568,"LK433_RS07010","LK433_RS07010"
"LK433_RS02410",-0.242100679024024,5.49135661677702,1.26137174092601,0.266090905743198,0.465031117211367,"LK433_RS02410","LK433_RS02410"
"LK433_RS13020",-0.167482046639176,7.57658066826077,1.26150534137753,0.266065861773983,0.465031117211367,"LK433_RS13020","LK433_RS13020"
"LK433_RS04475",-0.455782475141836,4.03100778529256,1.25980078625552,0.266385612398738,0.465253362032261,"LK433_RS04475","LK433_RS04475"
"LK433_RS07555",0.270216548177046,4.89762724194424,1.25859909424085,0.266611326181137,0.465354904340049,"LK433_RS07555","LK433_RS07555"
"LK433_RS10470",-0.0750297691424142,10.1268843039542,1.2567119194567,0.266966284578481,0.465681766504047,"LK433_RS10470","LK433_RS10470"
"LK433_RS13795",-0.73829378022874,1.98502808382892,1.25417685080988,0.267526087201402,0.466365313344817,"LK433_RS13795","LK433_RS13795"
"LK433_RS05240",0.273965867352947,5.38828014178314,1.24777874215343,0.268654697460051,0.467830689326401,"LK433_RS05240","LK433_RS05240"
"LK433_RS11875",0.211002146095859,6.26065515129653,1.24752097028413,0.26870361882449,0.467830689326401,"LK433_RS11875","LK433_RS11875"
"LK433_RS04840",0.40289568276696,3.61282364660982,1.24635225597131,0.26892556610298,0.46792374503006,"LK433_RS04840","LK433_RS04840"
"LK433_RS08060",0.133924233356635,8.23687055789644,1.2431146574459,0.269541628986342,0.468702006070802,"LK433_RS08060","LK433_RS08060"
"LK433_RS02895",-0.196672520189308,6.50252118706472,1.23934568141181,0.270261069823431,0.469071869312293,"LK433_RS02895","LK433_RS02895"
"LK433_RS04915",0.270171591867846,5.04069793521717,1.23994816874845,0.270145899951325,0.469071869312293,"LK433_RS04915","LK433_RS04915"
"LK433_RS07715",-0.340349825864351,4.81969963559063,1.24087166810539,0.269969487612719,0.469071869312293,"LK433_RS07715","LK433_RS07715"
