"","logFC","logCPM","F","PValue","FDR","locus_tag","genes"
"LK433_RS06540",0.587625641041355,10.8347093290687,22.6896243909917,5.29872713339959e-05,0.001004278893333,"LK433_RS06540","LK433_RS06540"
"LK433_RS08010",0.44759505404688,8.35879651624918,19.0933917800981,5.31611899051904e-05,0.001004278893333,"LK433_RS08010","LK433_RS08010"
"LK433_RS09260",1.08305739620966,4.98678583497145,19.0701847107252,5.36473243010655e-05,0.001004278893333,"LK433_RS09260","LK433_RS09260"
"LK433_RS10720",-0.49311838967086,8.10075044377277,19.0579622519811,5.39052111796665e-05,0.001004278893333,"LK433_RS10720","LK433_RS10720"
"LK433_RS12245",-0.514188009259532,7.86707482221766,19.0418918410227,5.42462491897552e-05,0.001004278893333,"LK433_RS12245","LK433_RS12245"
"LK433_RS02350",-0.674781406787555,7.16920598608874,19.0210261088748,5.46923991052978e-05,0.00100583306169147,"LK433_RS02350","LK433_RS02350"
"LK433_RS09960",0.398647124949279,8.72200725382145,18.9044006178446,5.72572705250778e-05,0.0010460752647904,"LK433_RS09960","LK433_RS09960"
"LK433_RS13110",0.619667354374449,7.50752919590026,18.8718020996749,5.79963122528453e-05,0.00105265202043236,"LK433_RS13110","LK433_RS13110"
"LK433_RS11360",0.54794483221224,7.59747885809793,18.7024937323854,6.19973553123202e-05,0.00111796529676827,"LK433_RS11360","LK433_RS11360"
"LK433_RS03535",-0.755073344368394,6.21328234516081,18.6078293949981,6.43584470319226e-05,0.00115305424133967,"LK433_RS03535","LK433_RS03535"
"LK433_RS13740",-0.434891734754754,8.24311177996723,18.4121892795427,6.95389459310532e-05,0.00123788239006753,"LK433_RS13740","LK433_RS13740"
"LK433_RS00425",-0.301478999652379,11.1349909272749,18.2506027939414,7.41439050660467e-05,0.00131144983674148,"LK433_RS00425","LK433_RS00425"
"LK433_RS01240",-0.325329619115415,9.15180224369663,18.1762850059426,7.63671828168599e-05,0.00134222573849633,"LK433_RS01240","LK433_RS01240"
"LK433_RS01950",0.497957735268538,7.5686732666777,18.0426680178654,8.05404329501592e-05,0.00140667158680876,"LK433_RS01950","LK433_RS01950"
"LK433_RS01495",0.593913124265924,7.2907052630345,17.9416093177083,8.38538249784436e-05,0.00142708884950772,"LK433_RS01495","LK433_RS01495"
"LK433_RS07075",0.256388218589965,11.2147582356585,17.9289450924488,8.42789237735923e-05,0.00142708884950772,"LK433_RS07075","LK433_RS07075"
"LK433_RS08495",-0.700796965132151,6.00417528951038,17.9351781408825,8.40694204179929e-05,0.00142708884950772,"LK433_RS08495","LK433_RS08495"
"LK433_RS08960",0.710517707056822,9.64232500151356,21.4165028572182,8.34957050520601e-05,0.00142708884950772,"LK433_RS08960","LK433_RS08960"
"LK433_RS09810",-0.435470472522879,8.72735900002221,17.9411630078358,8.38687682652126e-05,0.00142708884950772,"LK433_RS09810","LK433_RS09810"
"LK433_RS02390",0.443148471220295,8.47716400872216,17.8404192306889,8.7313722240849e-05,0.0014695164040172,"LK433_RS02390","LK433_RS02390"
"LK433_RS10635",0.881772697852215,5.8907426327804,17.8251674127738,8.78479436079504e-05,0.00146960083975469,"LK433_RS10635","LK433_RS10635"
"LK433_RS01295",0.242859547166609,11.0799762717882,17.7293643707401,9.12822425249552e-05,0.00151790890713653,"LK433_RS01295","LK433_RS01295"
"LK433_RS10595",-0.295168440249239,10.5495285484931,17.6859479558778,9.28842906485275e-05,0.00152627026704711,"LK433_RS10595","LK433_RS10595"
"LK433_RS12215",-0.61897194708332,8.69987324634408,19.3860214688191,9.2734260436519e-05,0.00152627026704711,"LK433_RS12215","LK433_RS12215"
"LK433_RS00035",-0.229283596061468,12.1161495080281,17.619773098315,9.53825684785309e-05,0.00155810230979341,"LK433_RS00035","LK433_RS00035"
"LK433_RS10410",-0.478249702296463,7.32697377945507,17.5798322825118,9.69241533054937e-05,0.00157402557736465,"LK433_RS10410","LK433_RS10410"
"LK433_RS03310",-0.462514070025859,8.136659104764,17.5590930411248,9.77348149816762e-05,0.00157796268141927,"LK433_RS03310","LK433_RS03310"
"LK433_RS00310",-0.277267659505438,9.92987184193026,17.2481831931938,0.000110769716478955,0.0017780780500697,"LK433_RS00310","LK433_RS00310"
"LK433_RS08690",-0.403392367916962,9.69346429754536,17.4182184682619,0.000111736465773538,0.00178328830720182,"LK433_RS08690","LK433_RS08690"
"LK433_RS10615",0.479378694471934,7.83775122757977,17.1911337959071,0.000113351492441947,0.00179872625435021,"LK433_RS10615","LK433_RS10615"
"LK433_RS00580",0.21991380624082,15.0178291194693,17.1544320824273,0.000115045438846484,0.00181523399816299,"LK433_RS00580","LK433_RS00580"
"LK433_RS05180",-0.2985729244901,10.2268431623809,17.1358389241786,0.000115913620053608,0.00181859956434389,"LK433_RS05180","LK433_RS05180"
"LK433_RS07365",-0.454799092083998,8.2094619745316,17.0866758307494,0.000118242199907653,0.00183786239775121,"LK433_RS07365","LK433_RS07365"
"LK433_RS14650",0.823166000074662,5.99535288884182,17.0820242627319,0.000118465023117561,0.00183786239775121,"LK433_RS14650","LK433_RS14650"
"LK433_RS00855",0.565510430558097,7.06227285606837,16.8460590345483,0.000130361203323903,0.00201118367572489,"LK433_RS00855","LK433_RS00855"
"LK433_RS10020",0.355568646646856,8.6349258906087,16.743303976242,0.000135923754768264,0.00208541583973188,"LK433_RS10020","LK433_RS10020"
"LK433_RS05100",0.532941077181682,7.18000576877225,16.7180612482398,0.000137327649752182,0.00209537848000994,"LK433_RS05100","LK433_RS05100"
"LK433_RS03855",0.542412778037195,7.80796029828947,16.5209610101264,0.000148821739733507,0.00225834956961721,"LK433_RS03855","LK433_RS03855"
